Title,URL
,/
Fintech Radar,/
,https://substack.com/profile/116107-alan-tsen
Alan Tsen,https://substack.com/@fintechradar
,https://fintechradar.substack.com/p/welcome-to-fintech-radar/comments
Share,javascript:void(0)
unlimited leverage glitch,https://www.businessinsider.com.au/robinhood-fixes-infinite-leverage-free-money-glitch-suspends-related-traders-2019-11?r=US&IR=T
,https://fintechradar.substack.com/p/welcome-to-fintech-radar/comments
Share,javascript:void(0)
Privacy,https://substack.com/privacy
Terms,https://substack.com/tos
Collection notice,https://substack.com/ccpa#personal-data-collected
Start Writing,https://substack.com/signup?utm_source=substack&utm_medium=web&utm_content=footer
Get the app,https://substack.com/app/app-store-redirect?utm_campaign=app-marketing&utm_content=web-footer-button
Substack,https://substack.com
turn on JavaScript,https://enable-javascript.com/
,/
Fintech Radar,/
,https://fintechradar.substack.com/p/issue-132-banked-acquires-waave-plaid/comments
Share,javascript:void(0)
here is a breakdown,https://fintechradar.substack.com/p/coming-soon
here,https://fintechradar.substack.com/
“A Deep Dive Into The Cash App's Growth Machine”,https://fintechradar.substack.com/p/breakdown-2-a-deep-dive-into-the
“The Future Of Payment Initiation”,https://fintechradar.substack.com/p/break-down-6-the-future-of-payment
“Current: Doing It Differently”,https://fintechradar.substack.com/p/current-doing-it-differently
sponsorship page,https://sponsor.fintechradar.co/
Find Out More,https://sponsor.fintechradar.co/
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fc46d1dcb-27fc-427d-a916-b5c5524913a9_1500x500.png"
Banked Bolsters Australian Pay-by-Bank Foothold With Waave Acquisition,https://www.pymnts.com/acquisitions/2024/banked-bolsters-australian-pay-by-bank-foothold-with-waave-acquisition/
Worldpay Global Payments report,https://worldpay.globalpaymentsreport.com/en
recently introduced laws enabling action initiation,https://www.startupdaily.net/topic/politics-news-analysis/whats-next-for-australias-consumer-data-right-after-action-initiation-and-the-lessons-from-overseas/
Plaid Introduces Pay-by-Bank for Billpay,https://finovate.com/plaid-introduces-pay-by-bank-for-billpay/
Alipay+ sees overseas use of payment partner apps triple in 9M 2024,https://asianbankingandfinance.net/cards-payments/news/alipay-sees-overseas-use-payment-partner-apps-triple-in-9m-2024
Pockit to buy Monese,https://www.finextra.com/newsarticle/44853/pockit-to-buy-monese
HSBC wrote off its investment,https://www.finextra.com/newsarticle/44815/hsbc-writes-off-monese-stake
"HubSpot to Acquire B2B Billing Management and CPQ Solution, Cacheflow",https://finance.yahoo.com/news/hubspot-acquire-b2b-billing-management-130000783.html
"“sell work, not software”",https://www.sarahtavel.com/p/ai-startups-sell-work-not-software
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F2368cff4-c0b4-4e7c-b61c-d78a001e8adb_1500x500.png"
Health insurtech startup Qantev raises €30 million to outperform LLMs with small AI models,https://techcrunch.com/2024/10/09/health-insurtech-startup-qantev-raises-e30-million-to-outperform-llms-with-small-ai-models/
Numeric grabs $28M Series A to automate accounting using AI,https://techcrunch.com/2024/10/10/numeric-grabs-28m-series-a-for-automating-accounting-with-ai/
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F98bd3f66-92b9-4d3e-8d67-a0d55e5f019d_1500x500.png"
Welcome Jenson Huang,https://open.spotify.com/episode/0pt8FAP3UKdZhgKHfAWPdC
",",https://open.spotify.com/episode/0pt8FAP3UKdZhgKHfAWPdC
Two Decades of 3-D Secure: Can Strong Customer Authentication Succeed in the US and Unregulated Markets?,https://glenbrook.com/payments_on_fire/episode-249-3-d-secure-strong-customer-authentication-stripe-entersekt/
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fbf71ebbf-6c40-4936-a127-0255d5f58800_1022x78.png"
@alantsen on Twitter,https://twitter.com/alantsen
Share Fintech Radar,https://fintechradar.substack.com/?utm_source=substack&utm_medium=email&utm_content=share&action=share
I Love It!,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
I Like It,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
Not Bad,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
I Don’t Like It,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
It’s Awful,https://survey.qwary.com/form/S_wSzSPnasH9Wc_FT15X0J1BuEcPl5gI3sIZmhE3o-E=
,https://fintechradar.substack.com/p/issue-132-banked-acquires-waave-plaid/comments
Share,javascript:void(0)
Privacy,https://substack.com/privacy
Terms,https://substack.com/tos
Collection notice,https://substack.com/ccpa#personal-data-collected
Start Writing,https://substack.com/signup?utm_source=substack&utm_medium=web&utm_content=footer
Get the app,https://substack.com/app/app-store-redirect?utm_campaign=app-marketing&utm_content=web-footer-button
Substack,https://substack.com
turn on JavaScript,https://enable-javascript.com/
,/
Fintech Radar,/
5,https://fintechradar.substack.com/p/issue-131hsbcs-embedded-finance-bet/comments
Share,javascript:void(0)
here is a breakdown,https://fintechradar.substack.com/p/coming-soon
here,https://fintechradar.substack.com/
“A Deep Dive Into The Cash App's Growth Machine”,https://fintechradar.substack.com/p/breakdown-2-a-deep-dive-into-the
“The Future Of Payment Initiation”,https://fintechradar.substack.com/p/break-down-6-the-future-of-payment
“Current: Doing It Differently”,https://fintechradar.substack.com/p/current-doing-it-differently
sponsorship page,https://sponsor.fintechradar.co/
Find Out More,https://sponsor.fintechradar.co/
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fc46d1dcb-27fc-427d-a916-b5c5524913a9_1500x500.png"
HSBC launches embedded finance venture,https://www.finextra.com/newsarticle/44827/hsbc-launches-embedded-finance-venture
Starling Bank fined £29m for financial crime failings,https://www.reuters.com/business/finance/starling-bank-fined-29-million-pounds-financial-crime-failings-2024-10-02/
HSBC’s $1.9b fine back in 2012,https://www.theguardian.com/business/2012/dec/11/hsbc-bank-us-money-laundering
IPO reportedly on the horizon,https://www.finextra.com/newsarticle/44619/starling-inches-towards-ipo-with-search-for-head-of-investor-relations
Facebook owner Meta forms data-sharing pact with UK banks to counter scams,https://www.cnbc.com/2024/10/02/facebook-owner-meta-to-share-data-with-uk-banks-to-counter-scams.html
,https://www.theguardian.com/money/2024/oct/07/how-new-rules-to-protect-the-victims-of-text-and-email-will-work
new UK legislation,https://www.theguardian.com/money/2024/oct/07/how-new-rules-to-protect-the-victims-of-text-and-email-will-work
Mastercard to buy Minna Technologies,https://www.paymentsdive.com/news/mastercard-acquisition-minna-technologies-subscription-embedded-payments-tool/728676/
Recorded Future last month,https://www.reuters.com/markets/deals/mastercard-buy-threat-intelligence-company-recorded-future-265-bln-2024-09-12/
Bud Financial launches agentic banking tool to revolutionise consumer finance management,https://fintech.global/2024/09/25/bud-financial-launches-agentic-banking-tool-to-revolutionise-consumer-finance-management/
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F2368cff4-c0b4-4e7c-b61c-d78a001e8adb_1500x500.png"
"Payment unicorn Zepz raises $267 million from World Bank, Accel and TCV",https://techcabal.com/2024/10/04/payment-unicorn-zepz-raises-267-million-from-world-bank-accel-and-tcv/
~$100b in 2022,https://gfrid.org/wp-content/uploads/2023/06/RemitSCOPE_Africa_preliminary_release.pdf
currently valued at ~$20b,https://www.daimagister.com/resources/remittances/
"Rogo, an AI startup focused on finance, raised its $18.5 million Series A",https://finance.yahoo.com/news/exclusive-rogo-ai-startup-focused-113450776.html
JPMorgan recently launched,https://www.cnbc.com/2024/08/09/jpmorgan-chase-ai-artificial-intelligence-assistant-chatgpt-openai.html
Bloomberg has also rolled out,https://www.institutionalinvestor.com/article/2cqjgsulkx3md4n3ox2ps/portfolio/bloombergs-first-generative-ai-tool-hits-the-terminal
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F98bd3f66-92b9-4d3e-8d67-a0d55e5f019d_1500x500.png"
The Fintech OG Series Season Two: Jason Gardner and Ken Lin,https://open.spotify.com/episode/16ECs0JEWWuNUdDy4p0C6i?go=1&sp_cid=57cb1ac0481ffb9d8e195eee64cc3657&nd=1&dlsi=16f2b12f322c47df
10 Years of Atom Bank with Mark Mullens,https://open.spotify.com/episode/1Jz91BXmYNSyuopoxH5lAn
,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fbf71ebbf-6c40-4936-a127-0255d5f58800_1022x78.png"
@alantsen on Twitter,https://twitter.com/alantsen
Share Fintech Radar,https://fintechradar.substack.com/?utm_source=substack&utm_medium=email&utm_content=share&action=share
